exe; width; height; time3; time5; flops3; flops5
bin/basic; 1000; 1000; 1.330600e-02; 8.163400e-02; 6.759360e+08; 3.053886e+08
bin/basic; 1000; 1000; 6.882000e-03; 6.447600e-02; 1.306888e+09; 3.866569e+08
bin/basic; 1000; 1000; 6.166000e-03; 6.531500e-02; 1.458645e+09; 3.816901e+08
bin/basic; 1000; 1000; 5.775000e-03; 6.531400e-02; 1.557403e+09; 3.816960e+08
bin/basic; 1000; 1000; 6.365000e-03; 9.065500e-02; 1.413041e+09; 2.749996e+08
bin/basic; 1000; 1000; 6.810000e-03; 6.674200e-02; 1.320706e+09; 3.735293e+08
bin/basic; 1000; 1000; 5.795000e-03; 6.683000e-02; 1.552028e+09; 3.730374e+08
bin/basic; 1000; 1000; 6.195000e-03; 6.693500e-02; 1.451817e+09; 3.724523e+08
bin/basic; 1000; 1000; 5.771000e-03; 6.662400e-02; 1.558483e+09; 3.741909e+08
bin/basic; 1000; 1000; 5.774000e-03; 6.677000e-02; 1.557673e+09; 3.733727e+08
bin/basic; 1000; 1000; 6.540000e-03; 6.663200e-02; 1.375230e+09; 3.741459e+08
bin/basic; 1000; 1000; 5.772000e-03; 6.716300e-02; 1.558213e+09; 3.711879e+08
bin/basic; 1000; 1000; 5.773000e-03; 6.908700e-02; 1.557943e+09; 3.608507e+08
bin/basic; 1000; 1000; 5.809000e-03; 6.043000e-02; 1.548288e+09; 4.125450e+08
bin/basic; 1000; 1000; 6.680000e-03; 6.671000e-02; 1.346408e+09; 3.737085e+08
bin/basic; 1000; 1000; 6.511000e-03; 6.621500e-02; 1.381355e+09; 3.765022e+08
bin/basic; 1000; 1000; 5.768000e-03; 6.665500e-02; 1.559294e+09; 3.740168e+08
bin/basic; 1000; 1000; 6.775000e-03; 9.006900e-02; 1.327528e+09; 2.767888e+08
bin/basic; 1000; 1000; 6.043000e-03; 7.068300e-02; 1.488334e+09; 3.527028e+08
bin/basic; 1000; 1000; 6.880000e-03; 6.478300e-02; 1.307268e+09; 3.848246e+08
bin/basic; 10000; 10000; 5.603330e-01; 5.121954e+00; 1.606081e+09; 4.879583e+08
bin/basic; 10000; 10000; 4.347850e-01; 4.855543e+00; 2.069851e+09; 5.147313e+08
bin/basic; 10000; 10000; 4.331530e-01; 4.852931e+00; 2.077649e+09; 5.150084e+08
bin/basic; 10000; 10000; 4.346750e-01; 4.857588e+00; 2.070374e+09; 5.145146e+08
bin/basic; 10000; 10000; 4.344840e-01; 4.861569e+00; 2.071285e+09; 5.140933e+08
bin/basic; 10000; 10000; 4.353030e-01; 4.860167e+00; 2.067388e+09; 5.142416e+08
bin/basic; 10000; 10000; 4.348830e-01; 4.856516e+00; 2.069384e+09; 5.146282e+08
bin/basic; 10000; 10000; 4.701180e-01; 4.852947e+00; 1.914285e+09; 5.150067e+08
bin/basic; 10000; 10000; 4.343140e-01; 4.855565e+00; 2.072095e+09; 5.147290e+08
bin/basic; 10000; 10000; 4.702070e-01; 4.853149e+00; 1.913923e+09; 5.149852e+08
bin/basic; 10000; 10000; 4.700540e-01; 4.854210e+00; 1.914546e+09; 5.148727e+08
bin/basic; 10000; 10000; 4.326370e-01; 4.853472e+00; 2.080127e+09; 5.149510e+08
bin/basic; 10000; 10000; 4.328690e-01; 4.850553e+00; 2.079012e+09; 5.152609e+08
bin/basic; 10000; 10000; 4.345100e-01; 4.853705e+00; 2.071161e+09; 5.149262e+08
bin/basic; 10000; 10000; 4.345850e-01; 4.856181e+00; 2.070803e+09; 5.146637e+08
bin/basic; 10000; 10000; 4.352100e-01; 4.854687e+00; 2.067829e+09; 5.148221e+08
bin/basic; 10000; 10000; 4.352520e-01; 4.852173e+00; 2.067630e+09; 5.150888e+08
bin/basic; 10000; 10000; 4.347650e-01; 4.854871e+00; 2.069946e+09; 5.148026e+08
bin/basic; 10000; 10000; 4.356290e-01; 4.855585e+00; 2.065840e+09; 5.147269e+08
bin/basic; 10000; 10000; 4.346490e-01; 4.901531e+00; 2.070498e+09; 5.099019e+08
bin/avx; 1000; 1000; 1.364600e-02; 8.306900e-02; 6.590946e+08; 3.001131e+08
bin/avx; 1000; 1000; 6.670000e-03; 6.686200e-02; 1.348427e+09; 3.728589e+08
bin/avx; 1000; 1000; 6.596000e-03; 6.699200e-02; 1.363554e+09; 3.721354e+08
bin/avx; 1000; 1000; 6.603000e-03; 6.727300e-02; 1.362109e+09; 3.705809e+08
bin/avx; 1000; 1000; 6.617000e-03; 6.678600e-02; 1.359227e+09; 3.732832e+08
bin/avx; 1000; 1000; 6.655000e-03; 8.682100e-02; 1.351466e+09; 2.871436e+08
bin/avx; 1000; 1000; 6.670000e-03; 6.847700e-02; 1.348427e+09; 3.640652e+08
bin/avx; 1000; 1000; 7.408000e-03; 6.717300e-02; 1.214094e+09; 3.711326e+08
bin/avx; 1000; 1000; 6.639000e-03; 6.619300e-02; 1.354723e+09; 3.766273e+08
bin/avx; 1000; 1000; 6.603000e-03; 6.707900e-02; 1.362109e+09; 3.716527e+08
bin/avx; 1000; 1000; 6.605000e-03; 6.645300e-02; 1.361696e+09; 3.751537e+08
bin/avx; 1000; 1000; 5.978000e-03; 5.039800e-02; 1.504517e+09; 4.946643e+08
bin/avx; 1000; 1000; 5.992000e-03; 5.101500e-02; 1.501002e+09; 4.886816e+08
bin/avx; 1000; 1000; 6.150000e-03; 5.063000e-02; 1.462440e+09; 4.923976e+08
bin/avx; 1000; 1000; 5.981000e-03; 5.076200e-02; 1.503763e+09; 4.911172e+08
bin/avx; 1000; 1000; 5.933000e-03; 5.115700e-02; 1.515929e+09; 4.873251e+08
bin/avx; 1000; 1000; 6.552000e-03; 5.112400e-02; 1.372711e+09; 4.876397e+08
bin/avx; 1000; 1000; 6.532000e-03; 5.108300e-02; 1.376914e+09; 4.880311e+08
bin/avx; 1000; 1000; 6.564000e-03; 5.117000e-02; 1.370202e+09; 4.872013e+08
bin/avx; 1000; 1000; 5.948000e-03; 5.026800e-02; 1.512106e+09; 4.959436e+08
bin/optimized; 1000; 1000; 3.884000e-03; 7.298000e-03; 2.315655e+09; 3.416017e+09
bin/optimized; 1000; 1000; 5.259000e-03; 7.182000e-03; 1.710212e+09; 3.471191e+09
bin/optimized; 1000; 1000; 4.963000e-03; 6.471000e-03; 1.812211e+09; 3.852587e+09
bin/optimized; 1000; 1000; 4.607000e-03; 5.554000e-03; 1.952248e+09; 4.488673e+09
bin/optimized; 1000; 1000; 5.927000e-03; 6.984000e-03; 1.517463e+09; 3.569601e+09
bin/optimized; 1000; 1000; 5.416000e-03; 6.270000e-03; 1.660636e+09; 3.976091e+09
bin/optimized; 1000; 1000; 4.988000e-03; 6.959000e-03; 1.803129e+09; 3.582424e+09
bin/optimized; 1000; 1000; 4.825000e-03; 6.025000e-03; 1.864042e+09; 4.137775e+09
bin/optimized; 1000; 1000; 5.084000e-03; 6.854000e-03; 1.769080e+09; 3.637306e+09
bin/optimized; 1000; 1000; 4.819000e-03; 6.053000e-03; 1.866363e+09; 4.118634e+09
bin/optimized; 1000; 1000; 4.920000e-03; 6.408000e-03; 1.828050e+09; 3.890464e+09
bin/optimized; 1000; 1000; 5.086000e-03; 7.179000e-03; 1.768385e+09; 3.472641e+09
bin/optimized; 10000; 10000; 2.064950e-01; 4.019500e-01; 4.358169e+09; 6.217938e+09
bin/optimized; 10000; 10000; 2.065690e-01; 4.441120e-01; 4.356607e+09; 5.627635e+09
bin/optimized; 10000; 10000; 2.089190e-01; 4.050500e-01; 4.307602e+09; 6.170350e+09
bin/optimized; 10000; 10000; 2.081940e-01; 3.909240e-01; 4.322603e+09; 6.393315e+09
bin/optimized; 10000; 10000; 2.072890e-01; 4.002640e-01; 4.341475e+09; 6.244129e+09
bin/optimized; 10000; 10000; 2.119320e-01; 4.178550e-01; 4.246362e+09; 5.981262e+09
bin/optimized; 10000; 10000; 2.064130e-01; 3.920430e-01; 4.359900e+09; 6.375066e+09
bin/optimized; 10000; 10000; 2.097230e-01; 4.494890e-01; 4.291089e+09; 5.560314e+09
bin/optimized; 10000; 10000; 2.091300e-01; 4.143580e-01; 4.303256e+09; 6.031741e+09
bin/optimized; 10000; 10000; 2.069270e-01; 4.046450e-01; 4.349070e+09; 6.176525e+09
bin/optimized; 10000; 10000; 2.071940e-01; 4.117970e-01; 4.343466e+09; 6.069253e+09
bin/optimized; 10000; 10000; 2.086390e-01; 4.051030e-01; 4.313383e+09; 6.169542e+09
bin/optimized; 10000; 10000; 2.057660e-01; 4.023380e-01; 4.373609e+09; 6.211941e+09
bin/cuda; 1000; 1000; 7.228000e-03; 1.340400e-02; 1.244328e+09; 1.859899e+09
bin/cuda; 1000; 1000; 7.193000e-03; 1.056100e-02; 1.250383e+09; 2.360581e+09
